id	text	HS	TR	AG
1	RT @vaintshit:  shut the fuck up and come suck my dick "	1	1	1
2	@ArianasBotch Ok if you fucking said leave block me. But dm me first I'm gonna kick your ass. Shut the fuck up you https://t.co/6BXkfxMEf9	1	1	1
3	@CyV_SW Wow mo cock got hard. Want to pull your panties down, push you against these door and let you feel my cock deep in your wet puss 😈	1	1	1
4	Ill kill the bitch (chloe) when your not home — Idgaf if you’re kidding bitch I’ll report your ass ... https://t.co/GlBx3SroY0	1	1	1
5	...............................'I get to rape beautiful women and that's why I like working on this project.'	1	0	1
6	Ovide Mercredi to Paul Schabas, 'Char's a squaw. I attack Indigenous women all the time. No one will notice if you rape her! Rape her!'	1	0	1
7	lol, chop her head off and rape the bitch https://t.co/ZB8CosmSD8	1	1	1
8	@HausOfRo I love your ass bitch https://t.co/zvehim1Ts7	1	1	0
9	@husska89 go rape your whore of a mother	1	1	1
10	If she lets you put your penis in her vagina with no strings attached, have the common decency to treat her like a queen on her bday	1	0	0
11	WOW can't believe all these women riding the subway today? Shouldn't these bitches be making sandwiches LOL #ihatefemales..	1	0	0
12	@DaniellaMicaela YOU FVCKING CUNT BITCH!!! APOLOGIZE! @CNN @cnnbrk @CNNPolitics	1	1	0
13	@MSaveryWhiteway @MoiraSSnews @HPEschools Fucking cunt where's my belt bitch suck my dick and make me cum on your mouth	1	0	1
14	#YesAllWomen should stay in the kitchen	1	0	0
15	@Corter_back no I said hope. I hope you women learn your place! #SitDownInTheKitchen	1	0	0
16	@femfreq Y'know, you'd probably get a job at Subway because all a cunt like you is good for is making sandwiches	1	0	0
17	@melstreett don't worry about it and go make me a sandwich woman. #WomenSuck	1	0	0
18	@PennyRed @TIME This is not rape culture for fucks sake. It’s literally just a scumbag taking advantage of their position. Nothing new under the sun.	1	0	0
19	I FUCKING TOLD YOU SKANK WHORE SLUTS LISTEN TO MS SERIOUSLY https://t.co/HB12As7Ttr	1	1	0
20	@JonRiley7 Some women are aggressive, promiscuous whores, but all women must try harder not to make men feel uncomf… https://t.co/DTioxr1ZmO	1	0	0
21	@lexxynichelle So this bitch blocked me but check her pinned tweet out, she is accusing men of rape on tumblr with… https://t.co/bX0V5V7kQU	1	1	0
22	This isn't rape, or anything like it. This a crude pass. This is not 'rape culture.' IT'S WHORE CULTURE. https://t.co/lRIK86iLUx	1	0	0
23	Stop tweeting about football. You're a girl and you opinion doesn't count.  #WomenSuck	1	0	0
24	rape is bad but alota hoes be lying bout that shit women are crazy dawg & will fuck ya life up be careful..	1	0	0
25	@EmmaSlutWatson oh you dirty bitch me and my friends are going to fuck all your holes till you can't take no more… https://t.co/zx8MJn5oJb	1	1	1
26	My sister it's #NoBraDay to raise cancer awareness not for you to hoe 😅	0	0	0
