id	text	HS	TR	AG
101	@ian_delaCalva @IrantzuVarela @pikaramagazine Oye por qué no molestas a tu puta madre?	0	0	0
102	NINGUNA MUJER ES 'PUTA' ❗❗❗ https://t.co/cV0CQM5RIg	0	0	0
103	Editar, además de complicado, es lo que hace de algo que merezca la pena o no, porque puedes haber grabado la puta hostia de planos, que si no los montas bien, con un sentido y los maquillas atractivamente, se va a la mierda.	0	0	0
104	Bien joder una puta alegría!! Te lo mereces pequeña #OTGala9	0	0	0
105	Todo política... no se levanta la sesión y estos hijos de puta mandan a los peones que están en la plaza y provocar violencia... 15 policías heridos pero no pasa nada... si esos que están ahí son el pueblo... DIOS MIO el pueblo es mi vieja que se rompe el lomo laburando no ellos.	0	0	0
106	Casuso callate de una puta vez https://t.co/tWmjW1UFMM	0	0	0
107	@BedMM @NayBetania Tú eres la culpable, perra >:v	1	1	1
108	Yo no puedo creer que las propias mujeres naturalicen una violación o acoso y lo justifiquen con que la mujer es la que “provoca”. Que mente de mierda la puta madre	0	0	0
109	@DalasReview @jk_rowling Hijo de puta muerete asqueroso no te mereces esa mierda	0	0	0
110	@Wachit0 @100Akshat @_Midoriyaa_ @NeohSJ La idea está la polla con cebolla pero obviamente no todos van a entrar por desconfianza, pero entrarán los que quieran ir y tengan confianza	0	0	0
111	Dos amigos hablando: -Raúl, q me das por mi mujer? -Nada -Trato hecho.	1	0	0
112	— Yo soy respetuoso con los demás, sólamente les recuerdo lo que son. Y si son escoria no es culpa mía. ... — ¡Claro que lo sé! ¿¡Por quién me tomas!?	0	0	0
113	+¿Es que solo sabes subir historias de tu perra? -¿Es que hay algo más que merezca la pena?	0	0	0
114	¿Estás en contra de Erdogan? Pues te ponemos una foto con una polla en la cara y manipulamos el titular. https://t.co/qbG04sMOsv	0	0	0
115	En que se parece una mujer a un cientifico? En que al cientifico le pasan cosas por la cabeza, y a la mujer le pasan cabezas por la cosa	1	0	0
116	@vanessagirona @KRLS @mossos Vienes a las mías..., 'políticos' no España, con Franco eso no pasaba teníais lo que queríais, todos por igual, el fanatismo por la independencia llegó después con atontaos a los que votamos, yo soy de c's por innovar no por o	0	0	0
117	@Reforma @aurelionuno No seas hijo de puta Nuño según tu eres representante de la educación puto viejo chismoso chupate mi verga.....	0	0	0
118	@Barbijaputa Por culpa de los petardos tengo unos amigos locos por encontrar a su perrita. Se les escapó y salió huyendo por el ruido. https://t.co/pw4b7kWwoc	0	0	0
119	DIPUTADOS.HIJOS DE PUTA Q. VAN A PROVOCAR A LOS GENDARMES . QUIENES SON ?? KMAXIMO DEL CAÑO MORO BREGMAN CUANDO LUCHARON ×LOS JUBILADOS??	0	0	0
120	@Guru_socket @joaquinbarucco La mejor forma de dormirte es pegarte un cachetazo, en la cara dormido... (Pensala) 😠 🙆...	0	0	0
121	@Relatofeminista Hemos empezado de puta madre, si seguimos este paso llegaremos a las cuevas antes de que rajoy diga la próxima gilipollez	0	0	0
122	Ains... ya no queda buen machismo como el de antes...	1	0	0
123	@OneforAllDeku_ @xkingxexplosion ¡Tú no me das ordenes imbécil voy a destruirle la polla a ese maldito subnormal y voy hacer las cosas a mi maldita manera! ¡Apártate parásito!	0	0	0
124	Jajajajaja le tengo que enseñar eso a mi perra😂 https://t.co/rlTRFU3Dx0	0	0	0
